Operation;Algorithm;Bytes;Time;Size
Encryption;Threefish;100000;3;100032
Encryption;SM4;100000;16;100016
Encryption;Threefish;1000000;17;1000032
Encryption;SM4;1000000;55;1000016
Encryption;Threefish;10000000;85;10000032
Encryption;SM4;10000000;174;10000016
Encryption;Threefish;100000000;390;100000032
Encryption;SM4;100000000;1772;100000016
Decryption;Threefish;100000;0;100000
Decryption;SM4;100000;9;100000
Decryption;Threefish;1000000;4;1000000
Decryption;SM4;1000000;50;1000000
Decryption;Threefish;10000000;41;10000000
Decryption;SM4;10000000;171;10000000
Decryption;Threefish;100000000;390;100000000
Decryption;SM4;100000000;1923;100000000
